ASX_code, Company_name, Listing_date, GICs_industry_group, Market_CapAHY,ASALEO CARE LIMITED,Not provided,Consumer Durables & Apparel,
PVS,PIVOTAL SYSTEMS CORPORATION,2/07/2018,Semiconductors & Semiconductor Equipment,187515356
SKO,SERKO LIMITED,25/06/2018,Software & Services,768892339
CVL,CIVMEC LIMITED,22/06/2018,Capital Goods,310682000
WGB,WAM GLOBAL LIMITED,22/06/2018,Investment Trust/Fund,621559609
RZI,RAIZ INVEST LIMITED,21/06/2018,Diversified Financials,126220208
DLT,DELTA DRONE INTERNATIONAL LIMITED,18/06/2018,Technology Hardware & Equipment,12048118
VN8,VONEX LIMITED..,13/06/2018,Telecommunication Services,26073019
URW,UNIBAIL-RODAMCO-WESTFIELD,31/05/2018,Real Estate,15929841515
VUL,VULCAN ENERGY RESOURCES LIMITED,30/05/2018,Materials,847865647
GAL,GALILEO MINING LTD,29/05/2018,Materials,39352831
PYG,PAYGROUP LIMITED,29/05/2018,Software & Services,54053627
CPV,CLEARVUE TECHNOLOGIES LIMITED,25/05/2018,Capital Goods,93500002
GCI,GRYPHON CAPITAL INCOME TRUST,25/05/2018,Investment Trust/Fund,416376067
S66,STAR COMBO PHARMA LIMITED,16/05/2018,Household & Personal Products,34351680
EP1,E&P FINANCIAL GROUP LIMITED,14/05/2018,Diversified Financials,165416941
ADT,ADRIATIC METALS PLC,1/05/2018,Materials,532281338
MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,30/04/2018,Diversified Financials,89698006
SIL,SMILES INCLUSIVE LIMITED,27/04/2018,Health Care Equipment & Services,N/A
LSF,L1 LONG SHORT FUND LIMITED,24/04/2018,Investment Trust/Fund,1536370360
JMS,JUPITER MINES LIMITED.,18/04/2018,Materials,577902355
HYM,HYPERION METALS LIMITED,16/04/2018,Materials,100901556
MKG,MAKO GOLD LIMITED,16/04/2018,Materials,22122778
DXN,DXN LIMITED,11/04/2018,Software & Services,12158504
C6C,COPPER MOUNTAIN MINING CORPORATION,6/04/2018,Materials,807773017
LRT,LOWELL RESOURCES FUND,22/03/2018,Investment Trust/Fund,41514585
EM2,EAGLE MOUNTAIN MINING LIMITED,16/03/2018,Materials,197602889
STN,SATURN METALS LIMITED,9/03/2018,Materials,47797417
POD,PODIUM MINERALS LIMITED,28/02/2018,Materials,138780023
SIS,SIMBLE SOLUTIONS LIMITED,22/02/2018,Software & Services,9067449
AS1,ANGEL SEAFOOD HOLDINGS LTD,21/02/2018,Food, Beverage & Tobacco,23428354
AX8,ACCELERATE RESOURCES LIMITED,14/02/2018,Materials,5332825
DBF,DUXTON BROADACRE FARMS LIMITED,8/02/2018,Food, Beverage & Tobacco,59207036
RCL,READCLOUD LIMITED,7/02/2018,Software & Services,40227967
BC8,BLACK CAT SYNDICATE LIMITED,30/01/2018,Materials,88708921
JAY,JAYRIDE GROUP LIMITED,29/01/2018,Retailing,32604558
WHK,WHITEHAWK LIMITED,24/01/2018,Retailing,35196554
CG1,CARBONXT GROUP LIMITED,23/01/2018,Materials,21136748
IHR,INTELLIHR LIMITED,23/01/2018,Software & Services,64493499
BEM,BLACKEARTH MINERALS NL,19/01/2018,Materials,20585197
TIE,TIETTO MINERALS LIMITED,18/01/2018,Materials,150541200
CY5,CYGNUS GOLD LIMITED,15/01/2018,Materials,11384110
EXL,ELIXINOL WELLNESS LIMITED,8/01/2018,Household & Personal Products,37807578
CCG,COMMS GROUP LTD,21/12/2017,Software & Services,25184399
NTD,NATIONAL TYRE & WHEEL LIMITED,15/12/2017,Retailing,122295503
